,estacion,sentido,hora,categoria,cantidad
20825,UNISABANA,BOG-CHI,17,VII,2
20826,UNISABANA,BOG-CHI,18,VII,2
20827,UNISABANA,BOG-CHI,19,VII,3
20828,UNISABANA,BOG-CHI,20,VII,7
20829,UNISABANA,BOG-CHI,21,VII,3
20830,UNISABANA,BOG-CHI,22,VII,5
20831,UNISABANA,BOG-CHI,23,VII,1
20832,ANDES,BOG-CHI,17,I,27
20833,ANDES,BOG-CHI,18,I,1500
20834,ANDES,BOG-CHI,21,I,4
20835,ANDES,BOG-CHI,17,II,5
20836,ANDES,BOG-CHI,0,I,168
20837,ANDES,BOG-CHI,1,I,95
20838,ANDES,BOG-CHI,2,I,71
20839,ANDES,BOG-CHI,3,I,110
20840,ANDES,BOG-CHI,4,I,272
20841,ANDES,BOG-CHI,5,I,1267
20842,ANDES,BOG-CHI,6,I,1783
20843,ANDES,BOG-CHI,7,I,1238
20844,ANDES,BOG-CHI,8,I,1456
20845,ANDES,BOG-CHI,9,I,1429
20846,ANDES,BOG-CHI,10,I,1477
20847,ANDES,BOG-CHI,11,I,1439
20848,ANDES,BOG-CHI,12,I,1206
20849,ANDES,BOG-CHI,13,I,1521
20850,ANDES,BOG-CHI,14,I,1576
20851,ANDES,BOG-CHI,15,I,1939
20852,ANDES,BOG-CHI,16,I,1874
20853,ANDES,BOG-CHI,17,I,1866
20854,ANDES,BOG-CHI,18,I,1818
20855,ANDES,BOG-CHI,19,I,1757
20856,ANDES,BOG-CHI,20,I,1641
20857,ANDES,BOG-CHI,21,I,1257
20858,ANDES,BOG-CHI,22,I,756
20859,ANDES,BOG-CHI,23,I,451
20860,ANDES,BOG-CHI,0,II,9
20861,ANDES,BOG-CHI,1,II,2
20862,ANDES,BOG-CHI,2,II,3
20863,ANDES,BOG-CHI,3,II,5
20864,ANDES,BOG-CHI,4,II,21
20865,ANDES,BOG-CHI,5,II,142
20866,ANDES,BOG-CHI,6,II,225
20867,ANDES,BOG-CHI,7,II,159
20868,ANDES,BOG-CHI,8,II,183
20869,ANDES,BOG-CHI,9,II,145
20870,ANDES,BOG-CHI,10,II,125
20871,ANDES,BOG-CHI,11,II,124
20872,ANDES,BOG-CHI,12,II,131
20873,ANDES,BOG-CHI,13,II,133
20874,ANDES,BOG-CHI,14,II,118
20875,ANDES,BOG-CHI,15,II,153
20876,ANDES,BOG-CHI,16,II,151
20877,ANDES,BOG-CHI,17,II,180
20878,ANDES,BOG-CHI,18,II,153
20879,ANDES,BOG-CHI,19,II,132
20880,ANDES,BOG-CHI,20,II,81
20881,ANDES,BOG-CHI,21,II,84
20882,ANDES,BOG-CHI,22,II,32
20883,ANDES,BOG-CHI,23,II,15
20884,ANDES,BOG-CHI,0,III,25
20885,ANDES,BOG-CHI,1,III,25
20886,ANDES,BOG-CHI,2,III,24
20887,ANDES,BOG-CHI,3,III,38
20888,ANDES,BOG-CHI,4,III,92
20889,ANDES,BOG-CHI,5,III,111
20890,ANDES,BOG-CHI,6,III,96
20891,ANDES,BOG-CHI,7,III,104
20892,ANDES,BOG-CHI,8,III,116
20893,ANDES,BOG-CHI,9,III,77
20894,ANDES,BOG-CHI,10,III,123
20895,ANDES,BOG-CHI,11,III,140
20896,ANDES,BOG-CHI,12,III,139
20897,ANDES,BOG-CHI,13,III,107
20898,ANDES,BOG-CHI,14,III,84
20899,ANDES,BOG-CHI,15,III,102
20900,ANDES,BOG-CHI,16,III,137
20901,ANDES,BOG-CHI,17,III,95
20902,ANDES,BOG-CHI,18,III,109
20903,ANDES,BOG-CHI,19,III,107
20904,ANDES,BOG-CHI,20,III,77
20905,ANDES,BOG-CHI,21,III,66
20906,ANDES,BOG-CHI,22,III,50
20907,ANDES,BOG-CHI,23,III,36
20908,ANDES,BOG-CHI,0,IV,10
20909,ANDES,BOG-CHI,1,IV,15
20910,ANDES,BOG-CHI,2,IV,15
20911,ANDES,BOG-CHI,3,IV,23
20912,ANDES,BOG-CHI,4,IV,21
20913,ANDES,BOG-CHI,5,IV,51
20914,ANDES,BOG-CHI,6,IV,44
20915,ANDES,BOG-CHI,7,IV,17
20916,ANDES,BOG-CHI,8,IV,25
20917,ANDES,BOG-CHI,9,IV,30
20918,ANDES,BOG-CHI,10,IV,39
20919,ANDES,BOG-CHI,11,IV,62
20920,ANDES,BOG-CHI,12,IV,40
20921,ANDES,BOG-CHI,13,IV,49
20922,ANDES,BOG-CHI,14,IV,31
20923,ANDES,BOG-CHI,15,IV,32
20924,ANDES,BOG-CHI,16,IV,41
20925,ANDES,BOG-CHI,17,IV,34
20926,ANDES,BOG-CHI,18,IV,27
20927,ANDES,BOG-CHI,19,IV,40
20928,ANDES,BOG-CHI,20,IV,29
20929,ANDES,BOG-CHI,21,IV,29
20930,ANDES,BOG-CHI,22,IV,19
20931,ANDES,BOG-CHI,23,IV,24
20932,ANDES,BOG-CHI,0,V,4
20933,ANDES,BOG-CHI,1,V,4
20934,ANDES,BOG-CHI,2,V,6
20935,ANDES,BOG-CHI,3,V,8
