,estacion,sentido,hora,categoria,valorTabulado,fecha
93,ANDES,BOG-CHI,21,IV,161000,2021-08-01
94,ANDES,BOG-CHI,22,IV,138000,2021-08-01
95,ANDES,BOG-CHI,23,IV,69000,2021-08-01
96,ANDES,BOG-CHI,0,V,70000,2021-08-01
97,ANDES,BOG-CHI,1,V,35000,2021-08-01
98,ANDES,BOG-CHI,2,V,35000,2021-08-01
99,ANDES,BOG-CHI,4,V,35000,2021-08-01
100,ANDES,BOG-CHI,5,V,140000,2021-08-01
101,ANDES,BOG-CHI,6,V,245000,2021-08-01
102,ANDES,BOG-CHI,7,V,140000,2021-08-01
103,ANDES,BOG-CHI,8,V,210000,2021-08-01
104,ANDES,BOG-CHI,9,V,175000,2021-08-01
105,ANDES,BOG-CHI,10,V,175000,2021-08-01
106,ANDES,BOG-CHI,11,V,280000,2021-08-01
107,ANDES,BOG-CHI,12,V,70000,2021-08-01
108,ANDES,BOG-CHI,13,V,175000,2021-08-01
109,ANDES,BOG-CHI,14,V,245000,2021-08-01
110,ANDES,BOG-CHI,15,V,175000,2021-08-01
111,ANDES,BOG-CHI,16,V,70000,2021-08-01
112,ANDES,BOG-CHI,19,V,35000,2021-08-01
113,ANDES,BOG-CHI,20,V,105000,2021-08-01
114,ANDES,BOG-CHI,21,V,70000,2021-08-01
115,ANDES,BOG-CHI,22,V,35000,2021-08-01
116,ANDES,BOG-CHI,23,V,70000,2021-08-01
117,ANDES,BOG-CHI,0,VI,180000,2021-08-01
118,ANDES,BOG-CHI,1,VI,135000,2021-08-01
119,ANDES,BOG-CHI,2,VI,135000,2021-08-01
120,ANDES,BOG-CHI,3,VI,135000,2021-08-01
121,ANDES,BOG-CHI,4,VI,270000,2021-08-01
122,ANDES,BOG-CHI,5,VI,225000,2021-08-01
123,ANDES,BOG-CHI,6,VI,180000,2021-08-01
124,ANDES,BOG-CHI,7,VI,90000,2021-08-01
125,ANDES,BOG-CHI,8,VI,360000,2021-08-01
126,ANDES,BOG-CHI,9,VI,225000,2021-08-01
127,ANDES,BOG-CHI,10,VI,225000,2021-08-01
128,ANDES,BOG-CHI,11,VI,225000,2021-08-01
129,ANDES,BOG-CHI,12,VI,270000,2021-08-01
130,ANDES,BOG-CHI,13,VI,225000,2021-08-01
131,ANDES,BOG-CHI,14,VI,270000,2021-08-01
132,ANDES,BOG-CHI,15,VI,360000,2021-08-01
133,ANDES,BOG-CHI,16,VI,135000,2021-08-01
134,ANDES,BOG-CHI,17,VI,45000,2021-08-01
135,ANDES,BOG-CHI,19,VI,180000,2021-08-01
